lexisGroup-id	lexisOnTextAE-id	Registered	LastUpdated
lexisGroup-id_12	lexisOnTextAE-id_137	2021-08-21	
lexisGroup-id_12	lexisOnTextAE-id_138	2021-08-21	
lexisGroup-id_12	lexisOnTextAE-id_139	2021-08-21	
lexisGroup-id_12	lexisOnTextAE-id_140	2021-08-21	
lexisGroup-id_13	lexisOnTextAE-id_141	2021-08-21	
lexisGroup-id_13	lexisOnTextAE-id_142	2021-08-21	
lexisGroup-id_13	lexisOnTextAE-id_143	2021-08-21	
lexisGroup-id_13	lexisOnTextAE-id_144	2021-08-21	
lexisGroup-id_13	lexisOnTextAE-id_145	2021-08-21	
lexisGroup-id_14	lexisOnTextAE-id_146	2021-08-21	
lexisGroup-id_14	lexisOnTextAE-id_147	2021-08-21	
lexisGroup-id_14	lexisOnTextAE-id_148	2021-08-21	
lexisGroup-id_14	lexisOnTextAE-id_149	2021-08-21	
lexisGroup-id_14	lexisOnTextAE-id_150	2021-08-21	
lexisGroup-id_15	lexisOnTextAE-id_151	2021-08-21	
lexisGroup-id_15	lexisOnTextAE-id_152	2021-08-21	
lexisGroup-id_15	lexisOnTextAE-id_153	2021-08-21	
lexisGroup-id_15	lexisOnTextAE-id_154	2021-08-21	
lexisGroup-id_15	lexisOnTextAE-id_155	2021-08-21	
lexisGroup-id_15	lexisOnTextAE-id_156	2021-08-21	
lexisGroup-id_15	lexisOnTextAE-id_157	2021-08-21	
lexisGroup-id_15	lexisOnTextAE-id_158	2021-08-21	
lexisGroup-id_15	lexisOnTextAE-id_159	2021-08-21	
lexisGroup-id_16	lexisOnTextAE-id_160	2021-08-21	
lexisGroup-id_16	lexisOnTextAE-id_161	2021-08-21	
lexisGroup-id_16	lexisOnTextAE-id_162	2021-08-21	
lexisGroup-id_16	lexisOnTextAE-id_163	2021-08-21	
lexisGroup-id_16	lexisOnTextAE-id_164	2021-08-21	
lexisGroup-id_16	lexisOnTextAE-id_165	2021-08-21	
lexisGroup-id_16	lexisOnTextAE-id_166	2021-08-21	
lexisGroup-id_16	lexisOnTextAE-id_167	2021-08-21	
lexisGroup-id_17	lexisOnTextAE-id_168	2021-08-21	
lexisGroup-id_17	lexisOnTextAE-id_169	2021-08-21	
lexisGroup-id_17	lexisOnTextAE-id_170	2021-08-21	
lexisGroup-id_17	lexisOnTextAE-id_171	2021-08-21	
lexisGroup-id_17	lexisOnTextAE-id_172	2021-08-21	
lexisGroup-id_17	lexisOnTextAE-id_173	2021-08-21	
lexisGroup-id_17	lexisOnTextAE-id_174	2021-08-21	
lexisGroup-id_17	lexisOnTextAE-id_175	2021-08-21	
lexisGroup-id_17	lexisOnTextAE-id_176	2021-08-21	
lexisGroup-id_17	lexisOnTextAE-id_177	2021-08-21	
lexisGroup-id_17	lexisOnTextAE-id_178	2021-08-21	
lexisGroup-id_17	lexisOnTextAE-id_179	2021-08-21	
lexisGroup-id_17	lexisOnTextAE-id_180	2021-08-21	
lexisGroup-id_17	lexisOnTextAE-id_181	2021-08-21	
lexisGroup-id_17	lexisOnTextAE-id_182	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_183	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_184	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_185	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_186	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_187	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_188	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_189	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_190	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_191	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_192	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_193	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_194	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_195	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_196	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_197	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_198	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_199	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_200	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_201	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_202	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_203	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_204	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_205	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_206	2021-08-21	
lexisGroup-id_18	lexisOnTextAE-id_207	2021-08-21	
lexisGroup-id_19	lexisOnTextAE-id_219	2021-08-21	
lexisGroup-id_19	lexisOnTextAE-id_220	2021-08-21	
lexisGroup-id_19	lexisOnTextAE-id_221	2021-08-21	
lexisGroup-id_19	lexisOnTextAE-id_222	2021-08-21	
lexisGroup-id_20	lexisOnTextAE-id_208	2021-08-21	
lexisGroup-id_20	lexisOnTextAE-id_209	2021-08-21	
lexisGroup-id_20	lexisOnTextAE-id_210	2021-08-21	
lexisGroup-id_20	lexisOnTextAE-id_211	2021-08-21	
lexisGroup-id_20	lexisOnTextAE-id_212	2021-08-21	
lexisGroup-id_20	lexisOnTextAE-id_213	2021-08-21	
lexisGroup-id_20	lexisOnTextAE-id_214	2021-08-21	
lexisGroup-id_20	lexisOnTextAE-id_215	2021-08-21	
lexisGroup-id_20	lexisOnTextAE-id_216	2021-08-21	
lexisGroup-id_20	lexisOnTextAE-id_217	2021-08-21	
lexisGroup-id_20	lexisOnTextAE-id_218	2021-08-21	
lexisGroup-id_20	lexisOnTextAE-id_219	2021-08-21	
lexisGroup-id_20	lexisOnTextAE-id_220	2021-08-21	
lexisGroup-id_20	lexisOnTextAE-id_221	2021-08-21	
lexisGroup-id_20	lexisOnTextAE-id_222	2021-08-21	
lexisGroup-id_21	lexisOnTextAE-id_223	2021-08-21	
lexisGroup-id_21	lexisOnTextAE-id_224	2021-08-21	
lexisGroup-id_21	lexisOnTextAE-id_225	2021-08-21	
lexisGroup-id_21	lexisOnTextAE-id_226	2021-08-21	
lexisGroup-id_21	lexisOnTextAE-id_227	2021-08-21	
lexisGroup-id_21	lexisOnTextAE-id_228	2021-08-21	
lexisGroup-id_21	lexisOnTextAE-id_229	2021-08-21	
lexisGroup-id_21	lexisOnTextAE-id_230	2021-08-21	
lexisGroup-id_21	lexisOnTextAE-id_231	2021-08-21	
lexisGroup-id_21	lexisOnTextAE-id_232	2021-08-21	
lexisGroup-id_21	lexisOnTextAE-id_233	2021-08-21	
lexisGroup-id_21	lexisOnTextAE-id_234	2021-08-21	
lexisGroup-id_21	lexisOnTextAE-id_235	2021-08-21	
lexisGroup-id_21	lexisOnTextAE-id_236	2021-08-21	
lexisGroup-id_22	lexisOnTextAE-id_237	2021-08-21	
lexisGroup-id_22	lexisOnTextAE-id_238	2021-08-21	
lexisGroup-id_22	lexisOnTextAE-id_239	2021-08-21	
lexisGroup-id_22	lexisOnTextAE-id_240	2021-08-21	
lexisGroup-id_22	lexisOnTextAE-id_241	2021-08-21	
lexisGroup-id_22	lexisOnTextAE-id_242	2021-08-21	
lexisGroup-id_22	lexisOnTextAE-id_243	2021-08-21	
lexisGroup-id_22	lexisOnTextAE-id_244	2021-08-21	
lexisGroup-id_22	lexisOnTextAE-id_245	2021-08-21	
lexisGroup-id_22	lexisOnTextAE-id_246	2021-08-21	
lexisGroup-id_22	lexisOnTextAE-id_247	2021-08-21	
lexisGroup-id_22	lexisOnTextAE-id_248	2021-08-21	
lexisGroup-id_22	lexisOnTextAE-id_249	2021-08-21	
lexisGroup-id_22	lexisOnTextAE-id_250	2021-08-21	
lexisGroup-id_23	lexisOnTextAE-id_251	2021-08-21	
lexisGroup-id_23	lexisOnTextAE-id_252	2021-08-21	
lexisGroup-id_23	lexisOnTextAE-id_253	2021-08-21	
lexisGroup-id_23	lexisOnTextAE-id_254	2021-08-21	
lexisGroup-id_23	lexisOnTextAE-id_255	2021-08-21	
lexisGroup-id_23	lexisOnTextAE-id_256	2021-08-21	
lexisGroup-id_23	lexisOnTextAE-id_257	2021-08-21	
lexisGroup-id_23	lexisOnTextAE-id_258	2021-08-21	
lexisGroup-id_23	lexisOnTextAE-id_259	2021-08-21	
lexisGroup-id_23	lexisOnTextAE-id_260	2021-08-21	
lexisGroup-id_23	lexisOnTextAE-id_261	2021-08-21	
lexisGroup-id_23	lexisOnTextAE-id_262	2021-08-21	
lexisGroup-id_23	lexisOnTextAE-id_263	2021-08-21	
lexisGroup-id_23	lexisOnTextAE-id_264	2021-08-21	
lexisGroup-id_24	lexisOnTextAE-id_265	2021-08-21	
lexisGroup-id_24	lexisOnTextAE-id_266	2021-08-21	
lexisGroup-id_24	lexisOnTextAE-id_267	2021-08-21	
lexisGroup-id_24	lexisOnTextAE-id_268	2021-08-21	
lexisGroup-id_24	lexisOnTextAE-id_269	2021-08-21	
lexisGroup-id_24	lexisOnTextAE-id_270	2021-08-21	
lexisGroup-id_24	lexisOnTextAE-id_271	2021-08-21	
lexisGroup-id_24	lexisOnTextAE-id_272	2021-08-21	
lexisGroup-id_24	lexisOnTextAE-id_273	2021-08-21	
lexisGroup-id_24	lexisOnTextAE-id_274	2021-08-21	
lexisGroup-id_24	lexisOnTextAE-id_275	2021-08-21	
lexisGroup-id_24	lexisOnTextAE-id_276	2021-08-21	
lexisGroup-id_25	lexisOnTextAE-id_277	2021-08-21	
lexisGroup-id_25	lexisOnTextAE-id_278	2021-08-21	
lexisGroup-id_25	lexisOnTextAE-id_279	2021-08-21	
lexisGroup-id_25	lexisOnTextAE-id_280	2021-08-21	
lexisGroup-id_25	lexisOnTextAE-id_281	2021-08-21	
lexisGroup-id_25	lexisOnTextAE-id_282	2021-08-21	
lexisGroup-id_25	lexisOnTextAE-id_283	2021-08-21	
lexisGroup-id_25	lexisOnTextAE-id_284	2021-08-21	
lexisGroup-id_25	lexisOnTextAE-id_285	2021-08-21	
lexisGroup-id_25	lexisOnTextAE-id_286	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_287	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_288	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_289	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_290	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_291	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_292	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_293	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_294	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_295	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_296	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_297	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_298	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_299	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_300	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_301	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_302	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_303	2021-08-21	
lexisGroup-id_26	lexisOnTextAE-id_304	2021-08-21	
lexisGroup-id_27	lexisOnTextAE-id_305	2021-08-21	
lexisGroup-id_27	lexisOnTextAE-id_306	2021-08-21	
lexisGroup-id_27	lexisOnTextAE-id_307	2021-08-21	
lexisGroup-id_27	lexisOnTextAE-id_308	2021-08-21	
lexisGroup-id_27	lexisOnTextAE-id_309	2021-08-21	
lexisGroup-id_28	lexisOnTextAE-id_310	2021-08-21	
lexisGroup-id_28	lexisOnTextAE-id_311	2021-08-21	
lexisGroup-id_28	lexisOnTextAE-id_312	2021-08-21	
lexisGroup-id_28	lexisOnTextAE-id_313	2021-08-21	
lexisGroup-id_28	lexisOnTextAE-id_314	2021-08-21	
lexisGroup-id_28	lexisOnTextAE-id_315	2021-08-21	
lexisGroup-id_28	lexisOnTextAE-id_316	2021-08-21	
lexisGroup-id_28	lexisOnTextAE-id_317	2021-08-21	
lexisGroup-id_28	lexisOnTextAE-id_318	2021-08-21	
lexisGroup-id_28	lexisOnTextAE-id_319	2021-08-21	
lexisGroup-id_29	lexisOnTextAE-id_320	2021-08-21	
lexisGroup-id_29	lexisOnTextAE-id_321	2021-08-21	
lexisGroup-id_29	lexisOnTextAE-id_322	2021-08-21	
lexisGroup-id_29	lexisOnTextAE-id_323	2021-08-21	
lexisGroup-id_29	lexisOnTextAE-id_324	2021-08-21	
lexisGroup-id_29	lexisOnTextAE-id_325	2021-08-21	
lexisGroup-id_29	lexisOnTextAE-id_326	2021-08-21	
lexisGroup-id_29	lexisOnTextAE-id_327	2021-08-21	
lexisGroup-id_30	lexisOnTextAE-id_328	2021-08-21	
lexisGroup-id_30	lexisOnTextAE-id_329	2021-08-21	
lexisGroup-id_30	lexisOnTextAE-id_330	2021-08-21	
lexisGroup-id_30	lexisOnTextAE-id_331	2021-08-21	
lexisGroup-id_30	lexisOnTextAE-id_332	2021-08-21	
lexisGroup-id_30	lexisOnTextAE-id_333	2021-08-21	
lexisGroup-id_30	lexisOnTextAE-id_334	2021-08-21	
lexisGroup-id_30	lexisOnTextAE-id_335	2021-08-21	
lexisGroup-id_31	lexisOnTextAE-id_336	2021-08-21	
lexisGroup-id_31	lexisOnTextAE-id_337	2021-08-21	
lexisGroup-id_31	lexisOnTextAE-id_338	2021-08-21	
lexisGroup-id_31	lexisOnTextAE-id_339	2021-08-21	
lexisGroup-id_32	lexisOnTextAE-id_340	2021-08-21	
lexisGroup-id_32	lexisOnTextAE-id_341	2021-08-21	
lexisGroup-id_32	lexisOnTextAE-id_342	2021-08-21	
lexisGroup-id_32	lexisOnTextAE-id_343	2021-08-21	
lexisGroup-id_32	lexisOnTextAE-id_344	2021-08-21	
lexisGroup-id_32	lexisOnTextAE-id_345	2021-08-21	
lexisGroup-id_33	lexisOnTextAE-id_346	2021-08-21	
lexisGroup-id_33	lexisOnTextAE-id_347	2021-08-21	
lexisGroup-id_34	lexisOnTextAE-id_348	2021-08-21	
lexisGroup-id_34	lexisOnTextAE-id_349	2021-08-21	
lexisGroup-id_35	lexisOnTextAE-id_350	2021-08-21	
lexisGroup-id_35	lexisOnTextAE-id_351	2021-08-21	
lexisGroup-id_35	lexisOnTextAE-id_352	2021-08-21	
lexisGroup-id_35	lexisOnTextAE-id_353	2021-08-21	
lexisGroup-id_35	lexisOnTextAE-id_354	2021-08-21	
lexisGroup-id_36	lexisOnTextAE-id_355	2021-08-21	
lexisGroup-id_36	lexisOnTextAE-id_356	2021-08-21	
lexisGroup-id_36	lexisOnTextAE-id_357	2021-08-21	
lexisGroup-id_36	lexisOnTextAE-id_358	2021-08-21	
lexisGroup-id_36	lexisOnTextAE-id_359	2021-08-21	
lexisGroup-id_36	lexisOnTextAE-id_360	2021-08-21	
lexisGroup-id_36	lexisOnTextAE-id_361	2021-08-21	
lexisGroup-id_36	lexisOnTextAE-id_362	2021-08-21	
lexisGroup-id_36	lexisOnTextAE-id_363	2021-08-21	
lexisGroup-id_36	lexisOnTextAE-id_364	2021-08-21	
lexisGroup-id_36	lexisOnTextAE-id_365	2021-08-21	
lexisGroup-id_36	lexisOnTextAE-id_366	2021-08-21	
lexisGroup-id_36	lexisOnTextAE-id_367	2021-08-21	
lexisGroup-id_36	lexisOnTextAE-id_368	2021-08-21	
lexisGroup-id_36	lexisOnTextAE-id_369	2021-08-21	
lexisGroup-id_37	lexisOnTextAE-id_370	2021-08-21	
lexisGroup-id_37	lexisOnTextAE-id_371	2021-08-21	
lexisGroup-id_37	lexisOnTextAE-id_372	2021-08-21	
lexisGroup-id_37	lexisOnTextAE-id_373	2021-08-21	
lexisGroup-id_37	lexisOnTextAE-id_374	2021-08-21	
lexisGroup-id_37	lexisOnTextAE-id_375	2021-08-21	
lexisGroup-id_37	lexisOnTextAE-id_376	2021-08-21	
lexisGroup-id_38	lexisOnTextAE-id_377	2021-08-21	
lexisGroup-id_38	lexisOnTextAE-id_378	2021-08-21	
lexisGroup-id_38	lexisOnTextAE-id_379	2021-08-21	
lexisGroup-id_38	lexisOnTextAE-id_380	2021-08-21	
lexisGroup-id_38	lexisOnTextAE-id_381	2021-08-21	
lexisGroup-id_38	lexisOnTextAE-id_382	2021-08-21	
lexisGroup-id_38	lexisOnTextAE-id_383	2021-08-21	
lexisGroup-id_38	lexisOnTextAE-id_384	2021-08-21	
lexisGroup-id_38	lexisOnTextAE-id_385	2021-08-21	
lexisGroup-id_38	lexisOnTextAE-id_386	2021-08-21	
lexisGroup-id_38	lexisOnTextAE-id_387	2021-08-21	
lexisGroup-id_38	lexisOnTextAE-id_388	2021-08-21	
lexisGroup-id_38	lexisOnTextAE-id_389	2021-08-21	
lexisGroup-id_38	lexisOnTextAE-id_390	2021-08-21	
lexisGroup-id_39	lexisOnTextAE-id_391	2021-08-21	
lexisGroup-id_39	lexisOnTextAE-id_392	2021-08-21	
lexisGroup-id_39	lexisOnTextAE-id_393	2021-08-21	
lexisGroup-id_39	lexisOnTextAE-id_394	2021-08-21	
lexisGroup-id_39	lexisOnTextAE-id_395	2021-08-21	
lexisGroup-id_39	lexisOnTextAE-id_396	2021-08-21	
lexisGroup-id_39	lexisOnTextAE-id_397	2021-08-21	
lexisGroup-id_39	lexisOnTextAE-id_398	2021-08-21	
lexisGroup-id_39	lexisOnTextAE-id_399	2021-08-21	
lexisGroup-id_40	lexisOnTextAE-id_400	2021-08-21	
lexisGroup-id_40	lexisOnTextAE-id_401	2021-08-21	
lexisGroup-id_40	lexisOnTextAE-id_402	2021-08-21	
lexisGroup-id_40	lexisOnTextAE-id_403	2021-08-21	
lexisGroup-id_40	lexisOnTextAE-id_404	2021-08-21	
lexisGroup-id_40	lexisOnTextAE-id_405	2021-08-21	
lexisGroup-id_40	lexisOnTextAE-id_406	2021-08-21	
lexisGroup-id_40	lexisOnTextAE-id_407	2021-08-21	
lexisGroup-id_41	lexisOnTextAE-id_408	2021-08-21	
lexisGroup-id_41	lexisOnTextAE-id_409	2021-08-21	
lexisGroup-id_41	lexisOnTextAE-id_410	2021-08-21	
lexisGroup-id_41	lexisOnTextAE-id_411	2021-08-21	
lexisGroup-id_41	lexisOnTextAE-id_412	2021-08-21	
lexisGroup-id_41	lexisOnTextAE-id_413	2021-08-21	
lexisGroup-id_41	lexisOnTextAE-id_414	2021-08-21	
lexisGroup-id_41	lexisOnTextAE-id_415	2021-08-21	
lexisGroup-id_41	lexisOnTextAE-id_416	2021-08-21	
lexisGroup-id_41	lexisOnTextAE-id_417	2021-08-21	
